ogr_no,turkce_1,matematik_1,fen_1,sosyal_1,turkce_7,matematik_7,fen_7,sosyal_7,turkce_15,matematik_15,fen_15,sosyal_15,turkce_18,matematik_18,fen_18,sosyal_18,turkce_21,matematik_21,fen_21,sosyal_21,toplam_1,toplam_7,toplam_15,toplam_18,toplam_21
40,28.25,12.25,11.25,12.0,32.25,28.75,15.25,13.25,19.0,30.25,11.0,13.75,30.0,32.0,11.75,16.75,29.0,32.5,9.25,11.5,63.75,89.5,74.0,90.5,82.25
36,32.25,11.75,11.0,8.0,32.25,11.75,11.0,8.0,32.25,11.75,11.0,8.0,32.25,11.75,11.0,8.0,32.25,11.75,11.0,8.0,63.0,63.0,63.0,63.0,63.0
80,22.75,19.5,7.5,13.0,30.0,30.25,17.5,12.5,23.75,33.0,13.75,8.75,31.25,25.5,9.0,15.0,32.5,34.5,6.5,17.5,62.75,90.25,79.25,80.75,91.0
29,29.5,12.0,7.75,13.25,33.666666666666664,21.0,8.5,13.333333333333334,33.666666666666664,21.0,8.5,13.333333333333334,37.75,25.0,10.25,11.5,33.75,26.0,7.5,15.25,62.5,76.5,76.5,84.5,82.5
55,28.5,11.5,11.5,11.0,30.25,17.0,11.5,13.75,30.25,18.5,13.75,13.75,35.0,13.5,14.0,12.75,33.75,11.75,4.25,13.25,62.5,72.5,76.25,75.25,63.0
85,29.0,13.0,14.0,6.25,29.25,33.0,17.5,10.75,26.75,29.75,12.5,6.5,34.25,22.0,15.0,5.0,31.25,23.5,10.25,12.75,62.25,90.5,75.5,76.25,77.75
19,28.0,13.0,8.25,12.75,34.5,26.0,9.75,9.75,22.75,30.5,11.5,10.5,35.25,20.75,7.0,18.75,37.5,26.25,6.5,16.25,62.0,80.0,75.25,81.75,86.5
66,27.5,12.0,12.0,10.25,26.5,25.5,9.0,15.25,30.4375,20.375,9.375,13.3125,30.25,19.75,12.0,14.0,37.5,24.25,4.5,13.75,61.75,76.25,73.5,76.0,80.0
45,23.25,14.75,11.5,12.0,28.75,32.0,14.25,11.75,17.5,30.5,14.0,10.5,26.5,24.1875,12.75,12.375,36.5,19.5,11.25,15.25,61.5,86.75,72.5,75.8125,82.5
18,22.75,9.75,12.5,16.25,26.5,20.75,13.75,15.0,22.5,24.25,15.0,12.5,28.75,13.5,11.5,16.25,37.5,26.75,17.5,15.0,61.25,76.0,74.25,70.0,96.75
51,27.25,12.5,12.0,9.5,29.9375,23.0,11.3125,10.5625,24.5,23.75,13.75,7.25,32.75,25.75,9.25,12.75,35.25,30.0,10.25,12.75,61.25,74.8125,69.25,80.5,88.25
95,29.5,13.0,5.25,12.5,29.5,13.0,5.25,12.5,29.5,13.0,5.25,12.5,29.5,13.0,5.25,12.5,29.5,13.0,5.25,12.5,60.25,60.25,60.25,60.25,60.25
78,28.25,11.25,6.25,13.25,29.875,19.9375,8.9375,11.0625,24.25,24.75,14.75,8.5,32.75,21.5,10.0,11.25,34.25,22.25,4.75,11.25,59.0,69.8125,72.25,75.5,72.5
2,27.25,9.5,8.75,13.0,33.0,25.5,13.5,14.25,30.125,17.5,11.125,13.625,30.125,17.5,11.125,13.625,30.125,17.5,11.125,13.625,58.5,86.25,72.375,72.375,72.375
14,26.5,12.5,11.75,7.5,28.75,27.25,8.5,11.25,25.5,29.75,12.0,9.0,32.5,20.25,13.75,10.5,34.0,32.0,11.0,10.0,58.25,75.75,76.25,77.0,87.0
63,25.75,8.5,11.5,12.5,24.0,24.0,9.0,15.0,22.5,26.75,12.5,15.0,32.5,14.25,14.0,18.75,32.5,28.5,8.75,12.5,58.25,72.0,76.75,79.5,82.25
60,29.0,9.75,14.75,4.5,29.0,9.75,14.75,4.5,29.0,9.75,14.75,4.5,29.0,9.75,14.75,4.5,29.0,9.75,14.75,4.5,58.0,58.0,58.0,58.0,58.0
35,23.75,13.5,7.25,13.5,31.25,32.5,15.25,14.0,24.0,27.25,10.0,11.25,35.25,28.5,14.25,16.5,35.25,30.0,10.5,13.0,58.0,93.0,72.5,94.5,88.75
52,23.0,11.0,8.75,15.0,32.5,25.25,5.0,13.75,17.5,26.0,10.0,15.0,23.75,19.0,7.75,17.5,36.25,21.25,7.5,13.75,57.75,76.5,68.5,68.0,78.75
1,23.5,14.25,7.75,11.75,25.0,16.5,13.25,6.25,21.75,26.75,13.75,12.5,31.5,26.75,9.25,16.75,27.25,18.25,5.5,10.25,57.25,61.0,74.75,84.25,61.25
88,24.5,8.75,7.5,15.25,29.5,17.5,6.5,14.25,28.0625,13.5,7.25,11.6875,23.75,12.0,9.5,5.25,34.5,15.75,5.5,12.0,56.0,67.75,60.5,50.5,67.75
83,28.75,7.0,10.0,10.0,31.25,14.0,15.0,12.5,25.0,23.75,12.5,8.75,26.25,18.75,12.5,5.0,35.0,26.75,6.5,11.25,55.75,72.75,70.0,62.5,79.5
79,23.5,16.0,8.25,8.0,23.5,35.25,17.75,10.75,25.5,34.5,16.5,8.0,31.5,35.0,13.25,14.0,31.5,34.5,15.25,10.0,55.75,87.25,84.5,93.75,91.25
69,26.25,11.5,8.75,9.0,29.75,23.25,5.75,15.5,24.75,15.0,5.75,9.75,35.0,11.5,6.75,5.75,33.25,21.75,5.75,12.0,55.5,74.25,55.25,59.0,72.75
97,17.75,14.5,9.5,13.5,28.75,25.5,15.25,10.25,30.5,26.75,10.0,11.25,33.75,17.5,6.75,5.5,38.75,27.75,6.5,4.0,55.25,79.75,78.5,63.5,77.0
42,23.0,15.5,6.5,10.25,28.5625,15.875,10.3125,10.9375,31.25,26.5,11.25,8.0,27.5,11.75,11.75,10.5,32.5,9.75,11.75,15.0,55.25,65.6875,77.0,61.5,69.0
72,22.0,9.25,11.0,12.5,22.0,31.5,11.75,11.75,29.5,20.5,10.25,10.0,25.5,29.25,12.0,16.25,34.25,27.25,7.5,11.5,54.75,77.0,70.25,83.0,80.5
